Date,Name,Year,Letterboxd URI
2024-10-03,Alien: Romulus,2024,https://boxd.it/zGqO
2024-10-23,Shot Caller,2017,https://boxd.it/bihA
2024-10-27,Transformers One,2024,https://boxd.it/q7bc
2024-11-01,The Wild Robot,2024,https://boxd.it/IWFy
2024-11-12,The Penguin,2024,https://boxd.it/QkIU
2024-11-24,Heretic,2024,https://boxd.it/H1lY
2024-11-29,Belfast,2021,https://boxd.it/tefG
2024-11-29,Malcolm & Marie,2021,https://boxd.it/r5cO
2024-11-29,Richard Jewell,2019,https://boxd.it/99Mg
2024-12-11,It's a Wonderful Life,1946,https://boxd.it/28xA
2024-12-12,Conclave,2024,https://boxd.it/AO8q
2024-12-13,Godzilla Minus One,2023,https://boxd.it/zu4c
2024-12-14,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-12-14,Palm Springs,2020,https://boxd.it/lCXQ
2024-12-14,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2
2024-12-15,We Live in Time,2024,https://boxd.it/FC5u
2024-12-15,Source Code,2011,https://boxd.it/fdo
2024-12-15,Juno,2007,https://boxd.it/210a
2024-12-16,True Grit,2010,https://boxd.it/Sog
2024-12-17,Moneyball,2011,https://boxd.it/glS
2024-12-17,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/k3S
2024-12-17,Operation Fortune: Ruse de Guerre,2023,https://boxd.it/rJXA
2024-12-19,Good Time,2017,https://boxd.it/fcFu
2024-12-19,Anora,2024,https://boxd.it/Egcw
2024-12-20,Perfect Days,2023,https://boxd.it/ATh8
2024-12-21,Flow,2024,https://boxd.it/v1Ei
2024-12-23,About Time,2013,https://boxd.it/43bI
2024-12-27,"I, Tonya",2017,https://boxd.it/dzR0
2024-12-29,The Suicide Squad,2021,https://boxd.it/fw6O
2025-01-01,The Wizard of Oz,1939,https://boxd.it/29Xu
2025-01-01,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/t77K
2025-01-01,An Evening with Dua Lipa,2024,https://boxd.it/RhDY
2025-01-04,Wicked,2024,https://boxd.it/e8ME
2025-01-06,Obi-Wan Kenobi,2022,https://boxd.it/yLBA
2025-01-07,A Real Pain,2024,https://boxd.it/CjNG
2025-01-14,The Second,2024,https://boxd.it/Nlvw
2025-01-14,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
